,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA250530P00050000,2025-05-23 15:05:56+00:00,50.0,0.01,0.0,0.01,0.0,0.0,4.0,1223,4.7500040624999995,False,REGULAR,USD
1,TSLA250530P00055000,2025-05-23 19:52:03+00:00,55.0,0.01,0.0,0.01,0.0,0.0,1.0,18,4.500004375,False,REGULAR,USD
2,TSLA250530P00060000,2025-05-22 14:18:37+00:00,60.0,0.01,0.0,0.01,0.0,0.0,5.0,33,4.2500046875,False,REGULAR,USD
3,TSLA250530P00065000,2025-05-20 13:33:38+00:00,65.0,0.01,0.0,0.01,0.0,0.0,50.0,87,4.12500484375,False,REGULAR,USD
4,TSLA250530P00070000,2025-05-23 19:52:57+00:00,70.0,0.01,0.0,0.01,-0.03,-75.0,1.0,37,3.8750003125,False,REGULAR,USD
5,TSLA250530P00075000,2025-05-19 17:20:46+00:00,75.0,0.01,0.0,0.01,0.0,0.0,16.0,30,3.750000625,False,REGULAR,USD
6,TSLA250530P00080000,2025-05-22 16:56:19+00:00,80.0,0.01,0.0,0.01,0.0,0.0,5.0,239,3.6250009375000003,False,REGULAR,USD
7,TSLA250530P00085000,2025-05-22 13:34:28+00:00,85.0,0.01,0.0,0.01,0.0,0.0,1.0,4550,3.43750140625,False,REGULAR,USD
8,TSLA250530P00090000,2025-05-22 19:51:24+00:00,90.0,0.01,0.0,0.01,0.0,0.0,5010.0,5309,3.3125017187499997,False,REGULAR,USD
9,TSLA250530P00095000,2025-05-23 19:50:46+00:00,95.0,0.01,0.0,0.01,0.0,0.0,57670.0,11232,3.1250021875,False,REGULAR,USD
10,TSLA250530P00100000,2025-05-23 19:59:31+00:00,100.0,0.01,0.0,0.02,0.0,0.0,19069.0,7602,3.1875020312499998,False,REGULAR,USD
11,TSLA250530P00105000,2025-05-23 19:28:17+00:00,105.0,0.01,0.0,0.01,-0.01,-50.0,8584.0,1145,2.93750265625,False,REGULAR,USD
12,TSLA250530P00110000,2025-05-23 19:59:30+00:00,110.0,0.01,0.0,0.01,0.0,0.0,268.0,1503,2.81250296875,False,REGULAR,USD
13,TSLA250530P00115000,2025-05-23 17:56:42+00:00,115.0,0.02,0.01,0.06,-0.01,-33.333336,36.0,194,3.156252109375,False,REGULAR,USD
